,AP Connection Count,Electricity Demand kBTU/h,Day of Week,Occupied
6/1/18 12:00,0.648101266,0.508301431,0.666666667,1
6/1/18 12:10,0.57721519,0.495424783,0.666666667,1
6/1/18 12:20,0.506329114,0.514952683,0.666666667,1
6/1/18 12:30,0.512658228,0.464681313,0.666666667,1
6/1/18 12:40,0.517721519,0.4706153,0.666666667,1
6/1/18 12:50,0.484810127,0.488897711,0.666666667,1
6/1/18 13:00,0.464556962,0.508464663,0.666666667,1
6/1/18 13:10,0.526582278,0.468925564,0.666666667,1
6/1/18 13:20,0.565822785,0.480219621,0.666666667,1
6/1/18 13:30,0.527848101,0.452173751,0.666666667,1
6/1/18 13:40,0.46835443,0.473501026,0.666666667,1
6/1/18 13:50,0.446835443,0.520867253,0.666666667,1
6/1/18 14:00,0.496202532,0.500137848,0.666666667,1
6/1/18 14:10,0.640506329,0.597152625,0.666666667,1
6/1/18 14:20,0.63164557,0.521115436,0.666666667,1
6/1/18 14:30,0.555696203,0.530478724,0.666666667,1
6/1/18 14:40,0.489873418,0.477677327,0.666666667,1
6/1/18 14:50,0.460759494,0.537748439,0.666666667,1
6/1/18 15:00,0.426582278,0.496319198,0.666666667,1
6/1/18 15:10,0.406329114,0.570223086,0.666666667,1
6/1/18 15:20,0.449367089,0.500999139,0.666666667,1
6/1/18 15:30,0.415189873,0.522346192,0.666666667,1
6/1/18 15:40,0.403797468,0.521325426,0.666666667,1
6/1/18 15:50,0.418987342,0.485783541,0.666666667,1
6/1/18 16:00,0.441772152,0.507286713,0.666666667,1
6/1/18 16:10,0.546835443,0.48100553,0.666666667,1
6/1/18 16:20,0.436708861,0.435138531,0.666666667,1
6/1/18 16:30,0.353164557,0.402573226,0.666666667,1
6/1/18 16:40,0.320253165,0.380387756,0.666666667,1
6/1/18 16:50,0.313924051,0.36870345,0.666666667,1
6/1/18 17:00,0.346835443,0.356843479,0.666666667,1
6/1/18 17:10,0.43164557,0.36190941,0.666666667,1
6/1/18 17:20,0.393670886,0.354151796,0.666666667,1
6/1/18 17:30,0.343037975,0.358230479,0.666666667,1
6/1/18 17:40,0.320253165,0.35697194,0.666666667,1
6/1/18 17:50,0.316455696,0.371699273,0.666666667,1
6/1/18 18:00,0.351898734,0.387719559,0.666666667,1
6/2/18 14:40,0.184810127,0.277625648,0.833333333,1
6/2/18 14:50,0.184810127,0.259866906,0.833333333,1
6/2/18 15:00,0.167088608,0.251354046,0.833333333,1
6/2/18 15:10,0.15443038,0.247053624,0.833333333,1
6/2/18 15:20,0.14556962,0.264589773,0.833333333,1
6/2/18 15:30,0.139240506,0.235259065,0.833333333,1
6/2/18 15:40,0.139240506,0.267486757,0.833333333,1
6/2/18 15:50,0.134177215,0.272141956,0.833333333,1
6/2/18 16:00,0.129113924,0.247133387,0.833333333,1
6/2/18 16:10,0.111392405,0.210360794,0.833333333,1
6/2/18 16:20,0.105063291,0.239769729,0.833333333,1
6/2/18 16:30,0.102531646,0.221528882,0.833333333,1
6/5/18 12:10,0.54556962,0.540488156,0.166666667,1
6/5/18 12:20,0.537974684,0.511162006,0.166666667,1
6/5/18 12:30,0.560759494,0.483386892,0.166666667,1
6/5/18 12:40,0.655696203,0.461625144,0.166666667,1
6/5/18 12:50,0.627848101,0.493308051,0.166666667,1
6/5/18 13:00,0.611392405,0.512847229,0.166666667,1
6/5/18 13:10,0.706329114,0.513503679,0.166666667,1
6/5/18 13:20,0.755696203,0.517101487,0.166666667,1
